Code;Region;Population;Surface km2;Number municipalities;Number province
IT-72;Campania;5850850;13670,95;550;5
IT-25;Lombardia;10008349;23863,65;1524;12
IT-62;Lazio;5888472;17232,29;378;5
IT-42;Liguria;1571053;5416,21;235;4
IT-34;Veneto;4915123;18407,42;576;7
IT-75;Puglia;4077166;19540,9;258;6
IT-45;Emilia-Romagna;4448146;22452,78;333;9
IT-82;Sicilia;5074261;25832,39;390;9
IT-21;Piemonte;4404246;25387,07;1201;8
IT-57;Marche;1543752;9401,38;229;5
IT-52;Toscana;3744398;22987,04;276;10
IT-36;Friuli Venezia Giulia;1221218;7862,3;216;4
IT-78;Calabria;1970521;15221,9;409;5
IT-65;Abruzzo;1326513;10831,84;305;4
IT-55;Umbria;891181;8464,33;92;2
IT-32;Trentino-Alto Adige;1059114;13605,5;293;2
IT-67;Molise;312027;4460,65;136;2
IT-88;Sardegna;1658138;24100,02;377;8
IT-77;Basilicata;573694;10073,32;131;2
IT-23;Valle d'Aosta;127329;3260,9;74;1
